model,model_dir,num,name,elo
NatureQN,trained_models/03_2357/Nature_B/model.weights/model,4758399,Nature4B,217.98111423754435
AdvantageQN,trained_models/02_2209/Adv_A/model.weights/model,4756947,Adv1A,196.1940388364085
AdvantageQN,trained_models/02_2205/Adv_A/model.weights/model,4757864,Adv0A,195.96852639091583
NatureQN,trained_models/03_2357/Nature_A/model.weights/model,4758399,Nature4A,190.8450271701976
AdvantageQN,trained_models/03_1521/Adv_B/model.weights/model,2505204,Adv3B,178.85057527506325
AdvantageQN,trained_models/02_2205/Adv_A/model.weights/model,4006694,Adv0A,176.71676578572635
AdvantageQN,trained_models/02_2205/Adv_B/model.weights/model,4757864,Adv0B,175.98728291762626
AdvantageQN,trained_models/02_2209/Adv_B/model.weights/model,4756947,Adv1B,171.8749306482955
AdvantageQN,trained_models/02_2209/Adv_A/model.weights/model,4005221,Adv1A,169.7838640466732
AdvantageQN,trained_models/02_2209/Adv_B/model.weights/model,4005221,Adv1B,167.72635095770278
AdvantageQN,trained_models/03_1520/Adv_B/model.weights/model,2505766,Adv2B,156.65838281553113
AdvantageQN,trained_models/03_1520/Adv_A/model.weights/model,2505766,Adv2A,153.5333135090315
NatureQN,trained_models/03_2357/Nature_B/model.weights/model,2503205,Nature4B,144.76198913765893
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,2505204,Adv3A,142.13885993793897
NatureQN,trained_models/03_2357/Nature_A/model.weights/model,2503205,Nature4A,137.25618116299367
NatureQN,trained_models/03_2357/Nature_B/model.weights/model,1001653,Nature4B,106.68638436230363
NatureQN,trained_models/03_2357/Nature_A/model.weights/model,1001653,Nature4A,104.57682384368738
AdvantageQN,trained_models/03_1520/Adv_A/model.weights/model,1001335,Adv2A,98.13964381278245
AdvantageQN,trained_models/03_1521/Adv_B/model.weights/model,1002194,Adv3B,94.21380607899236
AdvantageQN,trained_models/04_1006/Adv_Single/model.weights/model,4753393,ADV_vs_Random,89.15467768158852
AdvantageQN,trained_models/03_1520/Adv_B/model.weights/model,1001335,Adv2B,87.33337737384417
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,1002194,Adv3A,86.094017499222
AdvantageQN,trained_models/02_2205/Adv_B/model.weights/model,4006694,Adv0B,85.93027915966714
AdvantageQN,trained_models/04_1006/Adv_Single/model.weights/model,1000867,ADV_vs_Random,36.55812667006173
AdvantageQN,trained_models/04_1109/Adv_Single/model.weights/model,2501784,ADV_vs_250k,28.91867353329005
AdvantageQN,trained_models/04_1006/Adv_Single/model.weights/model,2501982,ADV_vs_Random,21.110091366301365
AdvantageQN,trained_models/04_1109/Adv_Single/model.weights/model,1000902,ADV_vs_250k,13.772451427954826
AdvantageQN,trained_models/04_1109/Adv_Single/model.weights/model,4753522,ADV_vs_250k,10.501489283755392
AdvantageQN,trained_models/04_1109/Adv_Single/model.weights/model,250016,ADV_vs_250k,-51.0576513769514
AdvantageQN,trained_models/03_1501/SingleADV/model.weights/model,2506140,Single,-57.690466154187725
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,2505567,SingleDQN,-60.30665905090459
AdvantageQN,trained_models/02_2204/SingleADV/model.weights/model,4011594,Single,-61.671923188423136
NatureQN,trained_models/04_0232/SingleNatureQN/model.weights/model,2508136,SingleDQN,-62.707232195623234
AdvantageQN,trained_models/02_2204/SingleADV/model.weights/model,4764484,Single,-66.46713555151038
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,4764637,SingleDQN,-68.19497467918049
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,2505567,SingleDQN0,-68.43210192715479
AdvantageQN,trained_models/03_1501/SingleADV/model.weights/model,4763791,Single,-73.90096500922814
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,4764637,SingleDQN0,-76.24187740196734
AdvantageQN,trained_models/03_1521/Adv_B/model.weights/model,250244,Adv3B,-80.85624050690942
AdvantageQN,trained_models/03_1501/SingleADV/model.weights/model,1001582,Single,-85.21976208625429
NatureQN,trained_models/04_0232/SingleNatureQN/model.weights/model,4766454,SingleDQN,-85.54651080958773
NatureQN,trained_models/04_0232/SingleNatureQN/model.weights/model,4766454,SingleDQN1,-88.49601067136904
NatureQN,trained_models/04_0232/SingleNatureQN/model.weights/model,2508136,SingleDQN1,-89.12497139729977
NatureQN,trained_models/04_0232/SingleNatureQN/model.weights/model,1001844,SingleDQN1,-91.10723674306463
NatureQN,trained_models/04_0232/SingleNatureQN/model.weights/model,1001844,SingleDQN,-94.14045952848932
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,1002011,SingleDQN,-111.64967745876959
AdvantageQN,trained_models/04_1006/Adv_Single/model.weights/model,250047,ADV_vs_Random,-121.29503508413082
NatureQN,trained_models/03_2357/Nature_B/model.weights/model,250101,Nature4B,-124.977160994416
AdvantageQN,trained_models/03_1520/Adv_B/model.weights/model,250020,Adv2B,-125.82638717080212
AdvantageQN,trained_models/03_1501/SingleADV/model.weights/model,250272,Single,-126.12112586745808
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,1002011,SingleDQN0,-136.4734098076195
NatureQN,trained_models/03_2357/Nature_A/model.weights/model,250101,Nature4A,-166.2504710815741
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,250068,SingleDQN,-166.51464599319317
AdvantageQN,trained_models/03_1520/Adv_A/model.weights/model,250020,Adv2A,-174.39142468601483
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,250068,SingleDQN0,-187.34566580983548
NatureQN,trained_models/04_0232/SingleNatureQN/model.weights/model,250360,SingleDQN,-196.71760158509602
NatureQN,trained_models/04_0232/SingleNatureQN/model.weights/model,250360,SingleDQN1,-226.77082178643505
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,250244,Adv3A,-313.7714393193083
