model_0,model_dir_0,num_0,name_0,model_1,model_dir_1,num_1,name_1,win_0,win_1
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,4764637,SingleDQN0,AdvantageQN,trained_models/04_1006/Adv_Single/model.weights/model,1000867,ADV_vs_Random,6,20
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,4764637,SingleDQN0,AdvantageQN,trained_models/04_1006/Adv_Single/model.weights/model,2501982,ADV_vs_Random,8,20
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,4764637,SingleDQN0,AdvantageQN,trained_models/04_1006/Adv_Single/model.weights/model,4753393,ADV_vs_Random,9,20
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,4764637,SingleDQN0,AdvantageQN,trained_models/04_1109/Adv_Single/model.weights/model,250016,ADV_vs_250k,20,19
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,4764637,SingleDQN0,AdvantageQN,trained_models/04_1109/Adv_Single/model.weights/model,1000902,ADV_vs_250k,18,20
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,4764637,SingleDQN0,AdvantageQN,trained_models/04_1109/Adv_Single/model.weights/model,2501784,ADV_vs_250k,12,20
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,4764637,SingleDQN0,AdvantageQN,trained_models/04_1109/Adv_Single/model.weights/model,4753522,ADV_vs_250k,15,20
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,4764637,SingleDQN0,NatureQN,trained_models/03_2357/Nature_A/model.weights/model,250101,Nature4A,20,4
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,4764637,SingleDQN0,NatureQN,trained_models/03_2357/Nature_A/model.weights/model,1001653,Nature4A,10,20
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,4764637,SingleDQN0,NatureQN,trained_models/03_2357/Nature_A/model.weights/model,2503205,Nature4A,8,20
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,4764637,SingleDQN0,NatureQN,trained_models/03_2357/Nature_A/model.weights/model,4758399,Nature4A,4,20
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,4764637,SingleDQN0,NatureQN,trained_models/03_2357/Nature_B/model.weights/model,250101,Nature4B,20,14
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,4764637,SingleDQN0,NatureQN,trained_models/03_2357/Nature_B/model.weights/model,1001653,Nature4B,9,20
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,4764637,SingleDQN0,NatureQN,trained_models/03_2357/Nature_B/model.weights/model,2503205,Nature4B,2,20
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,4764637,SingleDQN0,NatureQN,trained_models/03_2357/Nature_B/model.weights/model,4758399,Nature4B,0,20
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,250244,Adv3A,AdvantageQN,trained_models/04_1006/Adv_Single/model.weights/model,250047,ADV_vs_Random,5,20
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,250244,Adv3A,AdvantageQN,trained_models/04_1006/Adv_Single/model.weights/model,1000867,ADV_vs_Random,5,20
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,250244,Adv3A,AdvantageQN,trained_models/04_1006/Adv_Single/model.weights/model,2501982,ADV_vs_Random,2,20
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,250244,Adv3A,AdvantageQN,trained_models/04_1006/Adv_Single/model.weights/model,4753393,ADV_vs_Random,2,20
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,250244,Adv3A,AdvantageQN,trained_models/04_1109/Adv_Single/model.weights/model,250016,ADV_vs_250k,1,20
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,250244,Adv3A,AdvantageQN,trained_models/04_1109/Adv_Single/model.weights/model,1000902,ADV_vs_250k,4,20
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,250244,Adv3A,AdvantageQN,trained_models/04_1109/Adv_Single/model.weights/model,2501784,ADV_vs_250k,0,20
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,250244,Adv3A,AdvantageQN,trained_models/04_1109/Adv_Single/model.weights/model,4753522,ADV_vs_250k,2,20
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,250244,Adv3A,NatureQN,trained_models/03_2357/Nature_A/model.weights/model,250101,Nature4A,5,20
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,250244,Adv3A,NatureQN,trained_models/03_2357/Nature_A/model.weights/model,1001653,Nature4A,3,20
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,250244,Adv3A,NatureQN,trained_models/03_2357/Nature_A/model.weights/model,2503205,Nature4A,3,20
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,250244,Adv3A,NatureQN,trained_models/03_2357/Nature_A/model.weights/model,4758399,Nature4A,1,20
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,250244,Adv3A,NatureQN,trained_models/03_2357/Nature_B/model.weights/model,250101,Nature4B,9,20
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,250244,Adv3A,NatureQN,trained_models/03_2357/Nature_B/model.weights/model,1001653,Nature4B,4,20
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,250244,Adv3A,NatureQN,trained_models/03_2357/Nature_B/model.weights/model,2503205,Nature4B,2,20
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,250244,Adv3A,NatureQN,trained_models/03_2357/Nature_B/model.weights/model,4758399,Nature4B,6,20
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,1002194,Adv3A,AdvantageQN,trained_models/04_1006/Adv_Single/model.weights/model,250047,ADV_vs_Random,20,8
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,1002194,Adv3A,AdvantageQN,trained_models/04_1006/Adv_Single/model.weights/model,1000867,ADV_vs_Random,20,8
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,1002194,Adv3A,AdvantageQN,trained_models/04_1006/Adv_Single/model.weights/model,2501982,ADV_vs_Random,20,20
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,1002194,Adv3A,AdvantageQN,trained_models/04_1006/Adv_Single/model.weights/model,4753393,ADV_vs_Random,20,17
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,1002194,Adv3A,AdvantageQN,trained_models/04_1109/Adv_Single/model.weights/model,250016,ADV_vs_250k,20,12
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,1002194,Adv3A,AdvantageQN,trained_models/04_1109/Adv_Single/model.weights/model,1000902,ADV_vs_250k,20,18
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,1002194,Adv3A,AdvantageQN,trained_models/04_1109/Adv_Single/model.weights/model,2501784,ADV_vs_250k,20,7
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,1002194,Adv3A,AdvantageQN,trained_models/04_1109/Adv_Single/model.weights/model,4753522,ADV_vs_250k,20,14
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,1002194,Adv3A,NatureQN,trained_models/03_2357/Nature_A/model.weights/model,250101,Nature4A,20,2
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,1002194,Adv3A,NatureQN,trained_models/03_2357/Nature_A/model.weights/model,1001653,Nature4A,20,18
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,1002194,Adv3A,NatureQN,trained_models/03_2357/Nature_A/model.weights/model,2503205,Nature4A,20,19
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,1002194,Adv3A,NatureQN,trained_models/03_2357/Nature_A/model.weights/model,4758399,Nature4A,10,20
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,1002194,Adv3A,NatureQN,trained_models/03_2357/Nature_B/model.weights/model,250101,Nature4B,20,16
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,1002194,Adv3A,NatureQN,trained_models/03_2357/Nature_B/model.weights/model,1001653,Nature4B,17,20
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,1002194,Adv3A,NatureQN,trained_models/03_2357/Nature_B/model.weights/model,2503205,Nature4B,12,20
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,1002194,Adv3A,NatureQN,trained_models/03_2357/Nature_B/model.weights/model,4758399,Nature4B,17,20
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,2505204,Adv3A,AdvantageQN,trained_models/04_1006/Adv_Single/model.weights/model,250047,ADV_vs_Random,20,9
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,2505204,Adv3A,AdvantageQN,trained_models/04_1006/Adv_Single/model.weights/model,1000867,ADV_vs_Random,20,11
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,2505204,Adv3A,AdvantageQN,trained_models/04_1006/Adv_Single/model.weights/model,2501982,ADV_vs_Random,20,9
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,2505204,Adv3A,AdvantageQN,trained_models/04_1006/Adv_Single/model.weights/model,4753393,ADV_vs_Random,20,11
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,2505204,Adv3A,AdvantageQN,trained_models/04_1109/Adv_Single/model.weights/model,250016,ADV_vs_250k,20,2
