model_0,model_dir_0,num_0,name_0,model_1,model_dir_1,num_1,name_1,win_0,win_1
AdvantageQN,trained_models/03_1501/SingleADV/model.weights/model,250272,Single,NatureQN,trained_models/04_0232/SingleNatureQN/model.weights/model,250360,SingleDQN,13,20
AdvantageQN,trained_models/03_1501/SingleADV/model.weights/model,250272,Single,NatureQN,trained_models/04_0232/SingleNatureQN/model.weights/model,1001844,SingleDQN,11,20
AdvantageQN,trained_models/03_1501/SingleADV/model.weights/model,250272,Single,NatureQN,trained_models/04_0232/SingleNatureQN/model.weights/model,2508136,SingleDQN,20,12
AdvantageQN,trained_models/03_1501/SingleADV/model.weights/model,250272,Single,NatureQN,trained_models/04_0232/SingleNatureQN/model.weights/model,4766454,SingleDQN,20,10
AdvantageQN,trained_models/03_1501/SingleADV/model.weights/model,250272,Single,NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,250068,SingleDQN,20,19
AdvantageQN,trained_models/03_1501/SingleADV/model.weights/model,250272,Single,NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,1002011,SingleDQN,20,11
AdvantageQN,trained_models/03_1501/SingleADV/model.weights/model,250272,Single,NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,2505567,SingleDQN,20,19
AdvantageQN,trained_models/03_1501/SingleADV/model.weights/model,250272,Single,NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,4764637,SingleDQN,19,20
AdvantageQN,trained_models/03_1501/SingleADV/model.weights/model,250272,Single,AdvantageQN,trained_models/03_1520/Adv_A/model.weights/model,250020,Adv2A,19,20
AdvantageQN,trained_models/03_1501/SingleADV/model.weights/model,250272,Single,AdvantageQN,trained_models/03_1520/Adv_A/model.weights/model,1001335,Adv2A,5,20
AdvantageQN,trained_models/03_1501/SingleADV/model.weights/model,250272,Single,AdvantageQN,trained_models/03_1520/Adv_A/model.weights/model,2505766,Adv2A,6,20
AdvantageQN,trained_models/03_1501/SingleADV/model.weights/model,250272,Single,AdvantageQN,trained_models/03_1520/Adv_B/model.weights/model,250020,Adv2B,17,20
AdvantageQN,trained_models/03_1501/SingleADV/model.weights/model,250272,Single,AdvantageQN,trained_models/03_1520/Adv_B/model.weights/model,1001335,Adv2B,8,20
AdvantageQN,trained_models/03_1501/SingleADV/model.weights/model,250272,Single,AdvantageQN,trained_models/03_1520/Adv_B/model.weights/model,2505766,Adv2B,7,20
AdvantageQN,trained_models/03_1501/SingleADV/model.weights/model,250272,Single,AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,250244,Adv3A,20,3
AdvantageQN,trained_models/03_1501/SingleADV/model.weights/model,250272,Single,AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,1002194,Adv3A,3,20
AdvantageQN,trained_models/03_1501/SingleADV/model.weights/model,250272,Single,AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,2505204,Adv3A,7,20
AdvantageQN,trained_models/03_1501/SingleADV/model.weights/model,250272,Single,AdvantageQN,trained_models/03_1521/Adv_B/model.weights/model,250244,Adv3B,13,20
AdvantageQN,trained_models/03_1501/SingleADV/model.weights/model,250272,Single,AdvantageQN,trained_models/03_1521/Adv_B/model.weights/model,1002194,Adv3B,3,20
AdvantageQN,trained_models/03_1501/SingleADV/model.weights/model,250272,Single,AdvantageQN,trained_models/03_1521/Adv_B/model.weights/model,2505204,Adv3B,3,20
AdvantageQN,trained_models/03_1501/SingleADV/model.weights/model,1001582,Single,NatureQN,trained_models/04_0232/SingleNatureQN/model.weights/model,250360,SingleDQN,20,15
AdvantageQN,trained_models/03_1501/SingleADV/model.weights/model,1001582,Single,NatureQN,trained_models/04_0232/SingleNatureQN/model.weights/model,1001844,SingleDQN,20,17
AdvantageQN,trained_models/03_1501/SingleADV/model.weights/model,1001582,Single,NatureQN,trained_models/04_0232/SingleNatureQN/model.weights/model,2508136,SingleDQN,20,16
AdvantageQN,trained_models/03_1501/SingleADV/model.weights/model,1001582,Single,NatureQN,trained_models/04_0232/SingleNatureQN/model.weights/model,4766454,SingleDQN,20,16
AdvantageQN,trained_models/03_1501/SingleADV/model.weights/model,1001582,Single,NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,250068,SingleDQN,20,16
