model,model_dir,num,name,elo
AdvantageQN,trained_models/02_2205/Adv_A/model.weights/model,4757864,Adv0A,181.983181277526
AdvantageQN,trained_models/02_2209/Adv_A/model.weights/model,4756947,Adv1A,176.3512233005633
AdvantageQN,trained_models/03_1521/Adv_B/model.weights/model,2505204,Adv3B,161.80347497270813
AdvantageQN,trained_models/02_2205/Adv_A/model.weights/model,4006694,Adv0A,159.43689547235303
AdvantageQN,trained_models/02_2205/Adv_B/model.weights/model,4757864,Adv0B,157.4822453875582
AdvantageQN,trained_models/02_2209/Adv_B/model.weights/model,4756947,Adv1B,154.91174934953565
AdvantageQN,trained_models/02_2209/Adv_A/model.weights/model,4005221,Adv1A,151.12770103328853
AdvantageQN,trained_models/02_2209/Adv_B/model.weights/model,4005221,Adv1B,150.04628760994663
AdvantageQN,trained_models/03_1520/Adv_B/model.weights/model,2505766,Adv2B,143.92909770659577
AdvantageQN,trained_models/03_1520/Adv_A/model.weights/model,2505766,Adv2A,131.47668088375133
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,2505204,Adv3A,126.60075191195996
AdvantageQN,trained_models/03_1520/Adv_A/model.weights/model,1001335,Adv2A,103.27789019795011
AdvantageQN,trained_models/03_1521/Adv_B/model.weights/model,1002194,Adv3B,88.83067426906395
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,1002194,Adv3A,74.36329271653648
AdvantageQN,trained_models/02_2205/Adv_B/model.weights/model,4006694,Adv0B,69.55971640777244
AdvantageQN,trained_models/03_1520/Adv_B/model.weights/model,1001335,Adv2B,67.34353649581605
AdvantageQN,trained_models/03_1501/SingleADV/model.weights/model,2506140,Single,-59.558556274700045
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,2505567,SingleDQN,-68.76030238978257
NatureQN,trained_models/04_0232/SingleNatureQN/model.weights/model,2508136,SingleDQN,-69.61641443402522
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,4764637,SingleDQN,-74.69124663304261
AdvantageQN,trained_models/02_2204/SingleADV/model.weights/model,4764484,Single,-76.89031548147786
AdvantageQN,trained_models/02_2204/SingleADV/model.weights/model,4011594,Single,-79.81886534764134
AdvantageQN,trained_models/03_1501/SingleADV/model.weights/model,4763791,Single,-80.96283329658038
AdvantageQN,trained_models/03_1501/SingleADV/model.weights/model,1001582,Single,-83.81765379025504
AdvantageQN,trained_models/03_1521/Adv_B/model.weights/model,250244,Adv3B,-84.45509530597465
NatureQN,trained_models/04_0232/SingleNatureQN/model.weights/model,4766454,SingleDQN,-93.76545128342381
NatureQN,trained_models/04_0232/SingleNatureQN/model.weights/model,1001844,SingleDQN,-102.40060693888134
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,1002011,SingleDQN,-117.93023177845599
AdvantageQN,trained_models/03_1501/SingleADV/model.weights/model,250272,Single,-119.28272731056336
AdvantageQN,trained_models/03_1520/Adv_B/model.weights/model,250020,Adv2B,-128.82954810190097
AdvantageQN,trained_models/03_1520/Adv_A/model.weights/model,250020,Adv2A,-171.67142767601837
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,250068,SingleDQN,-171.90601445298378
NatureQN,trained_models/04_0232/SingleNatureQN/model.weights/model,250360,SingleDQN,-202.35525349584648
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,250244,Adv3A,-311.81185500137155
